image_path,text_description,label
agumentation data1/Apple___Apple_scab/image (1).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (10).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (100).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (101).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (102).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (103).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (104).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (105).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (106).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (107).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (108).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (109).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (11).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (110).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
